user,repository_name,url,size,stargazers_count,forks_count,open_issues
dylandreimerink,edb,https://github.com/dylandreimerink/edb.git,1670,116,4,1
merbridge,merbridge,https://github.com/merbridge/merbridge.git,273,314,34,12
xdp-project,xdp-project,https://github.com/xdp-project/xdp-project.git,38215,174,30,5
bolinfest,opensnoop-native,https://github.com/bolinfest/opensnoop-native.git,147,83,8,3
redcanaryco,oxidebpf,https://github.com/redcanaryco/oxidebpf.git,720,72,8,0
l3af-project,eBPF-Package-Repository,https://github.com/l3af-project/eBPF-Package-Repository.git,326,11,7,12
netgroup-polito,ebpf-test,https://github.com/netgroup-polito/ebpf-test.git,5523,35,5,0
falcosecurity,falco,https://github.com/falcosecurity/falco.git,11782,4749,648,94
aya-rs,aya,https://github.com/aya-rs/aya.git,2030,832,55,75
YutaroHayakawa,vale-bpf,https://github.com/YutaroHayakawa/vale-bpf.git,193,27,6,0
bolinfest,rust-ebpf-demo,https://github.com/bolinfest/rust-ebpf-demo.git,142,22,7,1
singe,ebpf-docker-for-mac,https://github.com/singe/ebpf-docker-for-mac.git,1,36,6,2
vbpf,ebpf-samples,https://github.com/vbpf/ebpf-samples.git,2180,23,5,2
elastic,ebpf,https://github.com/elastic/ebpf.git,14826,26,4,6
bpftools,bpf-workshop,https://github.com/bpftools/bpf-workshop.git,2806,43,9,0
trailofbits,ebpf-common,https://github.com/trailofbits/ebpf-common.git,122,13,7,1
vmware,p4c-xdp,https://github.com/vmware/p4c-xdp.git,9915,155,26,20
ahas-sigs,kube-ebpf-exporter,https://github.com/ahas-sigs/kube-ebpf-exporter.git,2770,27,6,0
ShiftLeftSecurity,traceleft,https://github.com/ShiftLeftSecurity/traceleft.git,17223,70,14,1
alban,golang-ebpf,https://github.com/alban/golang-ebpf.git,1352,9,7,1
willfindlay,bpfbox,https://github.com/willfindlay/bpfbox.git,4736,89,7,1
vitalyvch,strace.ebpf,https://github.com/vitalyvch/strace.ebpf.git,505,14,6,53
aojea,netkat,https://github.com/aojea/netkat.git,10438,117,5,1
0voice,kernel_new_features,https://github.com/0voice/kernel_new_features.git,76943,922,97,0
niclashedam,ebpf-kill-example,https://github.com/niclashedam/ebpf-kill-example.git,516,10,8,1
foniod,foniod,https://github.com/foniod/foniod.git,3475,350,27,8
ajor,bpftrace,https://github.com/ajor/bpftrace.git,1792,243,15,20
DataDog,ebpf-manager,https://github.com/DataDog/ebpf-manager.git,871,16,4,2
fzakaria,ebpf-mpls-encap-decap,https://github.com/fzakaria/ebpf-mpls-encap-decap.git,50,30,4,0
mikeroyal,eBPF-Guide,https://github.com/mikeroyal/eBPF-Guide.git,60,27,4,0
kinvolk-archives,cgroup-ebpf,https://github.com/kinvolk-archives/cgroup-ebpf.git,99,16,4,1
dippynark,bpf-sockmap,https://github.com/dippynark/bpf-sockmap.git,126,12,7,2
jsitnicki,ebpf-summit-2020,https://github.com/jsitnicki/ebpf-summit-2020.git,301,24,4,1
Juniper,ebplane,https://github.com/Juniper/ebplane.git,104,21,4,1
zaheersm,ebpf-trekking,https://github.com/zaheersm/ebpf-trekking.git,78,4,7,0
ns1,xdp-workshop,https://github.com/ns1/xdp-workshop.git,364,73,19,0
badboy,ebpf-disasm,https://github.com/badboy/ebpf-disasm.git,14,24,4,1
lizrice,lb-from-scratch,https://github.com/lizrice/lb-from-scratch.git,19,128,18,1
nacardin,ebpf-proxy,https://github.com/nacardin/ebpf-proxy.git,18,14,4,0
mechpen,sockdump,https://github.com/mechpen/sockdump.git,245,160,23,1
aquasecurity,btfhub,https://github.com/aquasecurity/btfhub.git,10847,105,11,6
epickrram,grav,https://github.com/epickrram/grav.git,230,273,19,4
acln0,ebpf,https://github.com/acln0/ebpf.git,123,25,2,0
weixingsun,jBProF,https://github.com/weixingsun/jBProF.git,2877,32,3,1
b3a-dev,ebpf-geoip-demo,https://github.com/b3a-dev/ebpf-geoip-demo.git,830,31,3,0
tuxology,libebpf,https://github.com/tuxology/libebpf.git,4356,14,4,0
zaafar,ebpf_turtle,https://github.com/zaafar/ebpf_turtle.git,24,6,5,0
FedeParola,ebpf-synflood-detector,https://github.com/FedeParola/ebpf-synflood-detector.git,21,10,5,0
samuelesabella,ebpflow,https://github.com/samuelesabella/ebpflow.git,309,11,3,0
pmem,vltrace,https://github.com/pmem/vltrace.git,1198,74,14,1
cilium,cilium-cli,https://github.com/cilium/cilium-cli.git,25942,125,63,113
Gui774ume,ssh-probe,https://github.com/Gui774ume/ssh-probe.git,1586,23,5,0
lockc-project,lockc,https://github.com/lockc-project/lockc.git,2308,108,12,27
bpftools,prometheus-ebpf-example,https://github.com/bpftools/prometheus-ebpf-example.git,16,22,3,0
pixie-io,pixie-demos,https://github.com/pixie-io/pixie-demos.git,4127,103,22,1
moolen,udplb,https://github.com/moolen/udplb.git,29,31,3,0
UofG-netlab,BPFabric,https://github.com/UofG-netlab/BPFabric.git,186,23,13,2
simar7,ebpfwall,https://github.com/simar7/ebpfwall.git,48,9,3,2
YutaroHayakawa,ipftrace2,https://github.com/YutaroHayakawa/ipftrace2.git,17668,254,10,0
leodido,demo-cloud-native-ebpf-day,https://github.com/leodido/demo-cloud-native-ebpf-day.git,76,14,4,0
libbpf,libbpf-sys,https://github.com/libbpf/libbpf-sys.git,126,57,22,1
parca-dev,parca-agent,https://github.com/parca-dev/parca-agent.git,9546,107,23,42
fujita,greeter-bpf,https://github.com/fujita/greeter-bpf.git,14,80,4,0
rafaeldtinoco,howtos,https://github.com/rafaeldtinoco/howtos.git,34026,64,10,0
chriskaliX,Hades,https://github.com/chriskaliX/Hades.git,1530,147,17,5
